text,word,sentence,indexloc,compname
オリックス 銀行 と の 業務 提携 について,オリックス,1,0,1
,銀行,1,1,1
,と,1,2,
,の,1,3,
,業務,1,4,
,提携,1,5,
,について,1,6,
20190510 当社 は オリックス 銀行 株式会社 と 、 オリックス 銀行 における 住宅 事業 者 向け サービス の 拡充 を 目的 に 顧客 紹介 業務 に関する 契約 を 締結 いたし まし た 。 本 業務 提携 を通じて 、 当社 は オリックス 銀行 より 紹介 を 受け た 住宅 事業 者 に対し 、 住宅 設備 の 延長 保証 を はじめ 定期 点検 や コール センター の 代行 など 「 人手 不足 」 に も 対応 できる 各種 サービス を 提供 し 、 オリックス 銀行 は これら を 通じ た 住宅 事業 者 向け サービス の 拡充 により 、 金融 機関 として 多様 化 する ニーズ に 対応 する 形 で 、 双方 協力 の もと 顧客 の 事業 活動 を 支援 いたし ます 。 当社 は 今後 も 住宅 事業 者 へ の ソリューション 提供 へ 真摯 に 向き合う 金融 機関 と の 提携 関係 を 強化 し 、 住宅 事業 者 の 幅広い ニーズ に お 応え する とともに 、 更 なる サービス 提供 体制 構築 を 進め て まい,20190510,2,0,
,当社,2,1,
,は,2,2,
,オリックス,2,3,1
,銀行,2,4,1
,株式会社,2,5,
,と,2,6,
,、,2,7,
,オリックス,2,8,1
,銀行,2,9,1
,における,2,10,
,住宅,2,11,
,事業,2,12,
,者,2,13,
,向け,2,14,
,サービス,2,15,
,の,2,16,
,拡充,2,17,
,を,2,18,
,目的,2,19,
,に,2,20,
,顧客,2,21,
,紹介,2,22,
,業務,2,23,
,に関する,2,24,
,契約,2,25,
,を,2,26,
,締結,2,27,
,いたし,2,28,
,まし,2,29,
,た,2,30,
,。,2,31,
,本,2,32,
,業務,2,33,
,提携,2,34,
,を通じて,2,35,
,、,2,36,
,当社,2,37,
,は,2,38,
,オリックス,2,39,1
,銀行,2,40,1
,より,2,41,
,紹介,2,42,
,を,2,43,
,受け,2,44,
,た,2,45,
,住宅,2,46,
,事業,2,47,
,者,2,48,
,に対し,2,49,
,、,2,50,
,住宅,2,51,
,設備,2,52,
,の,2,53,
,延長,2,54,
,保証,2,55,
,を,2,56,
,はじめ,2,57,
,定期,2,58,
,点検,2,59,
,や,2,60,
,コール,2,61,
,センター,2,62,
,の,2,63,
,代行,2,64,
,など,2,65,
,「,2,66,
,人手,2,67,
,不足,2,68,
,」,2,69,
,に,2,70,
,も,2,71,
,対応,2,72,
,できる,2,73,
,各種,2,74,
,サービス,2,75,
,を,2,76,
,提供,2,77,
,し,2,78,
,、,2,79,
,オリックス,2,80,1
,銀行,2,81,1
,は,2,82,
,これら,2,83,
,を,2,84,
,通じ,2,85,
,た,2,86,
,住宅,2,87,
,事業,2,88,
,者,2,89,
,向け,2,90,
,サービス,2,91,
,の,2,92,
,拡充,2,93,
,により,2,94,
,、,2,95,
,金融,2,96,
,機関,2,97,
,として,2,98,
,多様,2,99,
,化,2,100,
,する,2,101,
,ニーズ,2,102,
,に,2,103,
,対応,2,104,
,する,2,105,
,形,2,106,
,で,2,107,
,、,2,108,
,双方,2,109,
,協力,2,110,
,の,2,111,
,もと,2,112,
,顧客,2,113,
,の,2,114,
,事業,2,115,
,活動,2,116,
,を,2,117,
,支援,2,118,
,いたし,2,119,
,ます,2,120,
,。,2,121,
,当社,2,122,
,は,2,123,
,今後,2,124,
,も,2,125,
,住宅,2,126,
,事業,2,127,
,者,2,128,
,へ,2,129,
,の,2,130,
,ソリューション,2,131,
,提供,2,132,
,へ,2,133,
,真摯,2,134,
,に,2,135,
,向き合う,2,136,
,金融,2,137,
,機関,2,138,
,と,2,139,
,の,2,140,
,提携,2,141,
,関係,2,142,
,を,2,143,
,強化,2,144,
,し,2,145,
,、,2,146,
,住宅,2,147,
,事業,2,148,
,者,2,149,
,の,2,150,
,幅広い,2,151,
,ニーズ,2,152,
,に,2,153,
,お,2,154,
,応え,2,155,
,する,2,156,
,とともに,2,157,
,、,2,158,
,更,2,159,
,なる,2,160,
,サービス,2,161,
,提供,2,162,
,体制,2,163,
,構築,2,164,
,を,2,165,
,進め,2,166,
,て,2,167,
,まい,2,168,
株式会社 ラグザイア の 株式 取得 及び 簡易 株式 交換 （ 完全 子会社 化 ） に関する お知らせ 情報,株式会社,3,0,
,ラグザイア,3,1,1
,の,3,2,
,株式,3,3,
,取得,3,4,
,及び,3,5,
,簡易,3,6,
,株式,3,7,
,交換,3,8,
,（,3,9,
,完全,3,10,
,子会社,3,11,
,化,3,12,
,）,3,13,
,に関する,3,14,
,お知らせ,3,15,
,情報,3,16,
